L,kappa,lambda,eps_2,eps,acceptance_rate,delta_H_abs_mean,delta_H_abs_std,N_steps,N_trajectories,batch_size,seed
8,0.85,1.0,0.4,0.6324555320336759,0.00019999999494757503,50685406.24403844,4939898709.794346,2,100,100,59504
8,0.85,2.0,1e-06,0.001,1.0,2.49198027258295e-06,2.023925275416398e-06,1000,100,100,71307
8,0.85,2.0,1.4649382061914714e-06,0.0012103463166348181,1.0,3.6130867550127734e-06,2.9380488023612107e-06,826,100,100,150
8,0.85,2.0,2.1460439479594814e-06,0.0014649382061914698,1.0,5.233931160226391e-06,4.213746743639586e-06,683,100,100,97326
8,0.85,2.0,3.1438217715318246e-06,0.0017730825619614629,1.0,7.911480549211803e-06,6.366049647455005e-06,564,100,100,57675
8,0.85,2.0,4.605504626573514e-06,0.0021460439479594807,1.0,1.1479267096782308e-05,9.296653591711427e-06,466,100,100,30775
8,0.85,2.0,6.7467796862591274e-06,0.002597456387749201,1.0,1.6798204316003407e-05,1.3860710455567384e-05,385,100,100,72504
8,0.85,2.0,9.883615331157482e-06,0.0031438217715318217,1.0,2.4803467093427402e-05,2.064504833901511e-05,318,100,100,91217
8,0.85,2.0,1.4478885713912363e-05,0.0038051131013298886,1.0,3.5985759825067375e-05,2.9313729649131932e-05,263,100,100,51036
8,0.85,2.0,2.1210672865390052e-05,0.004605504626573515,1.0,5.1980095436039165e-05,4.190184576338871e-05,217,100,100,89548
8,0.85,2.0,3.1072325059538616e-05,0.005574255561017867,1.0,7.762925373633465e-05,6.427251199076947e-05,179,100,100,8620
8,0.85,2.0,4.55190361349187e-05,0.0067467796862591195,0.9998999834060669,0.00011477107721097184,9.357808149024561e-05,148,100,100,46448
8,0.85,2.0,6.668257514305255e-05,0.008165939942410338,0.9997999668121338,0.0001640539035316401,0.0001333962723788831,122,100,100,73213
8,0.85,2.0,9.768585201429122e-05,0.009883615331157482,0.9998999834060669,0.0002422147794292247,0.00019705759239064868,101,100,100,27838
8,0.85,2.0,0.00014310373682010125,0.011962597411101873,0.9997999668121338,0.000352255277864419,0.00028545250161401465,84,100,100,45129
8,0.85,2.0,0.0002096381315165353,0.014478885713912355,0.9998999834060669,0.0005135581971184401,0.0004292386002406888,69,100,100,28228
8,0.85,2.0,0.0003071069083331647,0.0175244659928103,0.9996999502182007,0.0007715931167762634,0.0006353252665886166,57,100,100,99484
8,0.85,2.0,0.00044989264340259425,0.02121067286539006,0.9988999962806702,0.001126929796960524,0.0009090606874843123,47,100,100,35705
8,0.85,2.0,0.000659064922004935,0.02567225977597093,0.9991999864578247,0.0016144551431940906,0.001305080702269475,39,100,100,13390
8,0.85,2.0,0.0009654893846056303,0.031072325059538598,0.998699963092804,0.0024712655935836326,0.002015579737307836,32,100,100,39026
8,0.85,2.0,0.0014143822871810778,0.03760827418509227,0.9976999759674072,0.0034389392080406127,0.0028210569258388355,27,100,100,34761
8,0.85,2.0,0.002071982650652037,0.04551903613491873,0.9976999759674072,0.0051100523706748835,0.00413323769417373,22,100,100,52322
8,0.85,2.0,0.0030353265475060406,0.05509379772266603,0.9965999722480774,0.007591746102306603,0.006139517263993809,18,100,100,87829
8,0.85,2.0,0.004446565827708846,0.06668257514305252,0.9941999912261963,0.011133292300819895,0.009180546541365471,15,100,100,21253
8,0.85,2.0,0.006513944167356084,0.08070900920811805,0.9906999468803406,0.017456243416296615,0.01413721088484983,12,100,100,1814
8,0.85,2.0,0.009542525683758019,0.0976858520142913,0.988099992275238,0.025230609426825343,0.020882399128734488,10,100,100,63369
8,0.85,2.0,0.013979210457700486,0.11823371117283127,0.9801999926567078,0.03943440376390703,0.03187251742308232,8,100,100,81759
8,0.85,2.0,0.020478679491876803,0.14310373682010125,0.97489994764328,0.05442127385641078,0.044866905099321085,7,100,100,81402
8,0.85,2.0,0.03,0.17320508075688773,0.9555999636650085,0.09063838265407395,0.07728912845599993,6,100,100,57836
8,0.85,2.0,0.04947368421052632,0.22242680641174148,0.8312999606132507,0.348238667483588,0.3015264698123175,4,100,100,64856
8,0.85,2.0,0.06894736842105263,0.26257830912139835,0.5382999777793884,1.1956553977220679,0.9890255679006729,4,100,100,93694
8,0.85,2.0,0.08842105263157896,0.29735677667001126,0.2903999984264374,2.8025797403652892,2.204175914171807,3,100,100,24394
8,0.85,2.0,0.10789473684210528,0.3284733426658932,0.09589999914169312,6.71722104886351,4.258461417110747,3,100,100,45855
8,0.85,2.0,0.12736842105263158,0.35688712648767756,0.016699999570846558,17.333356069653995,9.749682366951562,3,100,100,96694
8,0.85,2.0,0.14684210526315788,0.38319982419510307,0.002199999988079071,32.5548091128433,20.3770402661951,3,100,100,71190
8,0.85,2.0,0.16631578947368422,0.4078183290065372,0.0037999998312443495,28.572741428078082,19.12169262963564,2,100,100,10697
8,0.85,2.0,0.18578947368421053,0.4310330308505492,0.00139999995008111,48.371073501784835,66.72031501226135,2,100,100,8658
8,0.85,2.0,0.20526315789473684,0.45305977298225986,0.0004999999655410647,69.89447781079645,388.56075519128984,2,100,100,83700
8,0.85,2.0,0.22473684210526315,0.4740641750915831,0.00019999999494757503,525.2500788732103,14191.896356023846,2,100,100,70038
8,0.85,2.0,0.2442105263157895,0.4941766144970738,0.00039999998989515007,2037.0609798774822,59048.06014566537,2,100,100,80208
